Categoria,Localidad,Colonia,Precio
VENTA CASAS,CUAUHTÉMOC,ALGARIN,"$1,800,000  "
VENTA CASAS,ALVARO OBREGÓN,ALPES,"$13,180,000  "
VENTA CASAS,ALVARO OBREGÓN,AMPLIACION AGUILAS,"$7,000,000  "
VENTA CASAS,TLALPAN,AMPLIACION MIGUEL HIDALGO,"$4,300,000  "
VENTA CASAS,TLALPAN,AMPLIACION MIGUEL HIDALGO,"$3,970,000  "
VENTA CASAS,TLALPAN,AMPLIACION MIGUEL HIDALGO,"$2,895,000  "
VENTA CASAS,COYOACÁN,AMPLIACION PEDREGAL,"$19,950,000  "
VENTA CASAS,COYOACÁN,AMPLIACION PEDREGAL,"$32,000,000  "
VENTA CASAS,COYOACÁN,AMPLIACION PEDREGAL,"$17,200,000  "
VENTA CASAS,COYOACÁN,AMPLIACION PEDREGAL,"$14,500,000  "
VENTA CASAS,ALVARO OBREGÓN,ATLAMAYA,"$12,700,000  "
VENTA CASAS,COYOACÁN,BARRIO SAN LUCAS,"$28,000,000  "
VENTA CASAS,COYOACÁN,BOSQUE TETLAMEYA,"$10,754,100  "
VENTA CASAS,MIGUEL HIDALGO,BOSQUES DE LAS LOMAS,"$19,600,000  "
VENTA CASAS,COYOACÁN,CANTIL DEL PEDREGAL,"$5,900,000  "
VENTA CASAS,CUAUHTÉMOC,ALGARIN,"$1,800,000  "
VENTA CASAS,ALVARO OBREGÓN,ALPES,"$13,180,000  "
VENTA CASAS,ALVARO OBREGÓN,AMPLIACION AGUILAS,"$7,000,000  "
VENTA CASAS,TLALPAN,AMPLIACION MIGUEL HIDALGO,"$4,300,000  "
VENTA CASAS,TLALPAN,AMPLIACION MIGUEL HIDALGO,"$3,970,000  "
VENTA CASAS,TLALPAN,AMPLIACION MIGUEL HIDALGO,"$2,895,000  "
VENTA CASAS,COYOACÁN,AMPLIACION PEDREGAL,"$19,950,000  "
VENTA CASAS,COYOACÁN,AMPLIACION PEDREGAL,"$32,000,000  "
VENTA CASAS,COYOACÁN,AMPLIACION PEDREGAL,"$17,200,000  "
VENTA CASAS,COYOACÁN,AMPLIACION PEDREGAL,"$14,500,000  "
VENTA CASAS,ALVARO OBREGÓN,ATLAMAYA,"$12,700,000  "
VENTA CASAS,COYOACÁN,BARRIO SAN LUCAS,"$28,000,000  "
VENTA CASAS,COYOACÁN,BOSQUE TETLAMEYA,"$10,754,100  "
VENTA CASAS,MIGUEL HIDALGO,BOSQUES DE LAS LOMAS,"$19,600,000  "
VENTA CASAS,COYOACÁN,CANTIL DEL PEDREGAL,"$5,900,000  "
VENTA CASAS,COYOACÁN,CENTINELA,"$8,800,000  "
VENTA CASAS,TLALPAN,CHIMALI,"$5,850,000  "
VENTA CASAS,TLALPAN,CHIMALI,"$6,650,000  "
VENTA CASAS,ALVARO OBREGÓN,CHIMALISTAC,"$28,500,000  "
VENTA CASAS,TLALPAN,CHIMILLI,"$2,300,000  "
VENTA CASAS,TLALPAN,CLUB DE GOLF MEXICO,"$23,000,000  "
VENTA CASAS,TLALPAN,CLUB DE GOLF MEXICO,"$3,990,000  "
VENTA CASAS,TLALPAN,COLINAS DEL AJUSCO,"$8,900,000  "
VENTA CASAS,TLALPAN,COLINAS DEL AJUSCO,"$13,200,000  "
